2022-03-04 10:57:54:DRPF:INFO: Event failed: name bias_make_master, action MakeMasterBias, arg name kb210507_00001.fits, recurr False

2022-03-04 10:57:54:DRPF:INFO: Event failed: name bias_make_master, action MakeMasterBias, arg name kb210507_00002.fits, recurr False

2022-03-04 10:57:54:DRPF:INFO: Event failed: name bias_make_master, action MakeMasterBias, arg name kb210507_00003.fits, recurr False

2022-03-04 10:57:55:DRPF:INFO: Event failed: name bias_make_master, action MakeMasterBias, arg name kb210507_00004.fits, recurr False

2022-03-04 10:57:55:DRPF:INFO: Event failed: name bias_make_master, action MakeMasterBias, arg name kb210507_00005.fits, recurr False

2022-03-04 10:57:56:DRPF:INFO: Event failed: name bias_make_master, action MakeMasterBias, arg name kb210507_00006.fits, recurr False

2022-03-04 10:57:56:DRPF:INFO: Event failed: name bias_make_master, action MakeMasterBias, arg name kb210507_00007.fits, recurr False

2022-03-04 11:01:33:DRPF:INFO: Event failed: name process_arc, action ProcessArc, arg name kb210507_00017.fits, recurr False

2022-03-04 11:10:09:DRPF:INFO: Event failed: name flat_make_stack, action StackFlats, arg name kb210507_00019.fits, recurr False

2022-03-04 11:10:19:DRPF:INFO: Event failed: name flat_make_stack, action StackFlats, arg name kb210507_00020.fits, recurr False

2022-03-04 11:10:29:DRPF:INFO: Event failed: name flat_make_stack, action StackFlats, arg name kb210507_00021.fits, recurr False

2022-03-04 11:10:40:DRPF:INFO: Event failed: name flat_make_stack, action StackFlats, arg name kb210507_00022.fits, recurr False

2022-03-04 11:10:50:DRPF:INFO: Event failed: name flat_make_stack, action StackFlats, arg name kb210507_00023.fits, recurr False

2022-03-04 11:12:57:DRPF:INFO: Event failed: name flat_make_stack, action StackFlats, arg name kb210507_00025.fits, recurr False

2022-03-04 11:13:39:DRPF:INFO: Event failed: name flat_make_stack, action StackFlats, arg name kb210507_00026.fits, recurr False

2022-03-04 11:19:35:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00028.fits, recurr False

2022-03-04 11:19:35:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00028.fits, recurr False

2022-03-04 11:23:55:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00029.fits, recurr False

2022-03-04 11:23:55:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00029.fits, recurr False

2022-03-04 11:28:17:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00030.fits, recurr False

2022-03-04 11:28:17:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00030.fits, recurr False

2022-03-04 11:32:31:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00031.fits, recurr False

2022-03-04 11:32:31:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00031.fits, recurr False

