# MGE model for a Satoh model
# This is Table 1 from Cappellari (2020, MNRAS)
################################################
# logDens     logSig        q
################################################
   -1.834     -0.238       0.581
   -1.686     -0.093       0.695
   -1.934      0.053       0.374
   -2.208      0.076       0.739
   -3.019      0.228       0.808
   -2.339      0.236       0.397
   -2.977      0.378       0.162
   -3.850      0.406       0.792
   -3.171      0.417       0.424
   -4.960      0.485       0.970
   -3.305      0.558       0.174
   -4.964      0.643       0.653
   -4.305      0.644       0.386
   -5.610      0.694       0.863
   -4.124      0.754       0.170
   -4.057      0.781       0.074
   -6.695      0.809       1.000
   -5.611      0.972       0.271
   -6.350      0.998       0.493
   -5.160      1.068       0.118
   -4.596      1.072       0.058
   -7.518      1.085       1.000
   
