###############################################
#  xbin     ybin     Vrms      eVrms    flux
###############################################
  -0.012   -0.012    145.7      7.0    1416261
   0.021   -0.021    135.1      6.9    1378392
  -0.025    0.012    136.3      6.9    1388152
   0.029    0.021    133.9      6.8    1355531
   0.074   -0.012    120.3      6.1    1180300
   0.037   -0.069    128.3      5.9    1112688
  -0.022   -0.057    121.9      6.2    1204045
   0.127   -0.098     99.2      4.9     814398
   0.143    0.000     99.6      5.2     913858
   0.022   -0.146     90.4      4.7     796239
  -0.071   -0.102     93.5      5.1     907199
   0.111   -0.210     85.9      4.4     600401
   0.237   -0.160     94.3      4.5     569371
   0.247   -0.037     94.7      4.7     656501
   0.069    0.069    104.9      5.5    1035159
   0.217    0.089     83.9      4.7     668289
   0.120    0.125     92.4      4.7     762310
   0.000    0.062    130.7      6.2    1193110
  -0.066   -0.008    125.8      6.3    1222399
  -0.002    0.146     91.9      4.7     799735
  -0.062    0.067    123.1      5.7    1064727
   0.010   -0.260     82.5      4.2     546355
  -0.088   -0.190     93.3      4.4     649002
  -0.139   -0.026    101.3      5.2     914471
  -0.186   -0.114    104.5      4.6     685155
  -0.158    0.075     91.2      4.9     795557
  -0.102    0.160     88.9      4.6     701393
   0.067    0.219     95.3      4.3     604429
  -0.042    0.273     78.1      4.2     525375
   0.186    0.225     88.7      4.3     535651
  -0.251    0.001     90.4      4.7     656950
  -0.252    0.147     96.0      4.5     567689
  -0.173    0.241     82.7      4.3     523645
  -0.308   -0.127     85.9      4.5     529340
  -0.203   -0.245     82.6      4.3     504192
  -0.099   -0.321     79.9      4.1     460794
  -0.372    0.042     86.9      4.5     501978
   0.113   -0.348     84.2      4.0     432559
   0.234   -0.284     85.4      4.2     453141
  -0.005   -0.403     75.6      3.9     393562
  -0.339   -0.275     91.9      4.2     412883
  -0.225   -0.392     76.5      4.0     372685
  -0.442   -0.136     82.4      4.4     423543
  -0.125   -0.487     81.4      3.9     323661
  -0.508    0.012     86.0      4.4     401538
  -0.385    0.202     83.9      4.3     430805
  -0.300    0.306     85.8      4.2     409421
  -0.383   -0.420     75.4      4.0     312562
  -0.501   -0.297     85.1      4.2     329374
  -0.533    0.162     88.3      4.3     362225
  -0.154    0.363     76.7      4.0     411253
  -0.605   -0.125     92.1      4.4     332341
  -0.268   -0.539     72.7      3.9     274905
  -0.662   -0.288     82.3      4.2     269353
  -0.002   -0.547     76.4      3.8     292093
  -0.560   -0.464     83.5      4.0     245846
  -0.422   -0.580     75.5      3.9     232433
   0.130   -0.495     81.4      3.9     318377
  -0.148   -0.639     74.4      3.7     239928
  -0.696    0.048     87.8      4.4     296330
   0.251   -0.420     81.4      4.0     347015
  -0.500    0.325     84.5      4.2     318217
  -0.012   -0.700     71.5      3.7     218815
  -0.289   -0.701     78.4      3.7     205361
   0.377   -0.224     86.0      4.3     423601
   0.375   -0.075     82.3      4.5     491837
   0.134   -0.641     68.8      3.7     239885
   0.383   -0.368     74.4      4.1     340017
   0.349    0.070     91.1      4.5     516902
   0.088    0.339     78.2      4.1     445137
  -0.035    0.423     81.5      3.9     376706
   0.320    0.208     89.6      4.3     466941
   0.276   -0.570     81.4      3.8     258797
  -0.277    0.443     77.3      4.0     326554
  -0.411    0.458     87.0      4.0     285902
   0.261    0.341     81.0      4.1     398638
  -0.691    0.248     84.0      4.3     268750
  -0.148    0.515     71.9      3.8     304044
  -0.768   -0.137     88.1      4.3     258666
   0.170    0.448     80.0      3.9     344208
   0.059    0.516     72.8      3.8     310045
   0.501    0.035     94.6      4.4     404696
   0.518   -0.136     93.9      4.4     376988
   0.467    0.196     84.7      4.3     386992
   0.532   -0.307     85.3      4.2     312774
   0.411   -0.510     77.3      3.9     262523
   0.413    0.349     83.9      4.1     339505
  -0.042    0.599     82.6      3.8     263125
   0.320    0.488     80.1      3.9     292000
  -0.290    0.599     78.3      3.8     243722
  -0.586    0.450     79.9      4.1     244204
   0.674   -0.017     84.7      4.4     307947
   0.190    0.601     81.9      3.8     253948
   0.636    0.151     90.6      4.3     312086
   0.580    0.335     78.2      4.2     284446
  -0.143    0.680     68.1      3.7     222978
   0.055    0.692     83.3      3.7     221301
   0.480    0.489     76.6      4.0     256063
   0.557   -0.462     69.7      4.0     247320
   0.680   -0.215     98.0      4.3     280296
   0.339    0.651     73.4      3.8     218027
  -0.484    0.602     73.9      3.9     215065
  -0.387    0.715     72.4      3.7     192287
  -0.258    0.776     76.7      3.7     184107
   0.217    0.766     69.3      3.7     189220
  -0.882    0.129     90.0      4.3     221753
  -0.749    0.429     81.0      4.1     210946
  -0.099    0.817     74.1      3.6     178391
   0.060    0.834     70.3      3.6     174269
   0.504    0.640     72.8      3.8     200621
  -0.676    0.608     80.5      3.9     184154
   0.745    0.271     85.7      4.2     245579
   0.637    0.532     81.1      4.0     209186
   0.741    0.422     81.8      4.1     214414
   0.447    0.779     71.3      3.7     169765
   0.870    0.149     86.7      4.3     223604
   0.802   -0.105     90.6      4.3     249503
   0.716   -0.381     76.3      4.1     229990
   0.268   -0.732     76.3      3.7     196846
   0.410   -0.676     71.9      3.8     201367
   0.563   -0.624     80.6      3.9     196719
   0.317    0.899     67.8      3.6     150387
   0.163    0.927     64.9      3.5     149547
  -0.535    0.760     74.6      3.7     166323
  -0.030    0.938     72.4      3.5     148969
  -0.395    0.897     71.2      3.6     147104
  -0.212    0.921     73.8      3.6     149614
   0.646    0.706     74.6      3.8     166658
  -0.895    0.306     81.6      4.2     199175
   0.659    0.891     69.8      3.7     131839
   0.919   -0.035     86.3      4.3     215387
   0.893   -0.265     87.4      4.2     204896
   0.912    0.378     81.5      4.1     185426
   0.823    0.565     79.4      4.0     170849
   0.483    0.920     66.9      3.6     137848
   0.117   -0.792     77.0      3.6     185519
   0.721   -0.552     78.6      4.0     189463
  -0.148   -0.790     72.2      3.6     185097
  -0.887   -0.264     82.4      4.2     206425
  -0.022   -0.889     70.5      3.6     160317
  -0.565   -0.668     74.0      3.8     185042
  -0.700   -0.567     78.2      4.0     189613
  -0.758   -0.419     76.1      4.1     211067
  -0.435   -0.758     74.8      3.7     175993
  -0.908   -0.058     87.5      4.3     217909
  -0.294   -0.885     79.1      3.6     154559
   0.395   -0.872     79.5      3.6     152290
